time,flux,object
129.366449269859,1034539.75,2
129.3868835056055,1034593.94,2
129.4073178412291,1034619.4,2
129.42775217685994,1034633.3,2
129.44818661248428,1034617.56,2
129.46862084811437,1034670.75,2
129.4890551836288,1034554.7,2
129.509489619144,1034543.25,2
129.5299238546504,1034612.1,2
129.55035819016484,1034556.4,2
129.5707925255629,1034705.06,2
129.5912268609536,1034598.9,2
129.61166119635163,1034641.8,2
129.63209553174966,1034514.0,2
129.652529867024,1034512.8,2
129.6729642023056,1034576.75,2
129.6933985375872,1034508.0,2
129.71383287286153,1034696.4,2
129.73426720802672,1034583.06,2
129.7547015431919,1034538.06,2
129.77513587834983,1034580.8,2
129.79557031351578,1034574.9,2
129.8160045485638,1034578.5,2
129.8364388836053,1034506.5,2
129.85687321865407,1034528.94,2
129.87730755358643,1034527.2,2
129.89774188862793,1034506.1,2
129.9181762235603,1034472.7,2
129.93861055849266,1034611.8,2
129.95904489330132,1034519.44,2
129.97947922811727,1034627.06,2
129.99991346293243,1034472.4,2
130.02034789774189,1034437.1,2
130.04078223255783,1034424.7,2
130.0612164672566,1034515.0,2
130.08165080194885,1034508.0,2
120.88585944543593,2921479.8,3
120.90629371575052,2921527.0,3
120.92672808610224,2921717.5,3
120.94716255650565,2921793.5,3
120.96759682694392,2921816.0,3
120.98803119744116,2922032.2,3
121.00846546799583,2922106.2,3
121.02889993857389,2922157.0,3
121.04933430921665,2922229.0,3
121.06976867988853,2922209.8,3
121.09020305061132,2922414.0,3
121.1106374213996,2922442.0,3
121.13107179221696,2922557.5,3
121.15150606308453,2922463.5,3
121.17194053398998,2922595.5,3
121.19237490495289,2922857.2,3
121.21280917596596,2922951.0,3
121.23324364701692,2922940.2,3
121.25367801812536,2922957.2,3
121.27411228925484,2923202.0,3
121.29454666045058,2923252.8,3
121.31498113167618,2923236.8,3
121.33541550295196,2923393.0,3
121.35584977426332,2923459.8,3
121.37628424566356,2923391.5,3
121.39671861705574,2923504.2,3
121.41715288854176,2923494.8,3
121.43758726002852,2923654.8,3
